path_id,isnad_id,t0,t-1,t-2,t-3,t-4,t-5,t-6,t-7,t-8,t-9,t-10
isnad_001,jb_001,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,ʾAbū al-Zaʿrāʾ ʿAbd al-Raḥmān b. ʿAbdūs,ʾAbū ʿUmar al-Dūrī,ʾIsmāʿīl b. Ǧaʿfar b. ʾAbī Kaṯīr al-ʾAnṣārī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_002,jb_002,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʾAbū ʾAḥmad ʿAbd Allāh b. al-Ḥusayn b. Ḥasnūn al-Sāmarrī,ʾAbū Bakr b. Muǧāhid,ʾAbū al-Zaʿrāʾ ʿAbd al-Raḥmān b. ʿAbdūs,ʾAbū ʿUmar al-Dūrī,ʾIsmāʿīl b. Ǧaʿfar b. ʾAbī Kaṯīr al-ʾAnṣārī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_003,jb_003,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʿAbd al-Bāqī b. al-Ḥasan b. al-Saqqāʾ,ʾAbū al-Qāsim ʿAlī b. al-Ḥusayn b. al-Safr al-Ǧarašī,ʾAḥmad b. Faraḥ al-Mufassir al-Ḍarīr,ʾAbū ʿUmar al-Dūrī,ʾIsmāʿīl b. Ǧaʿfar b. ʾAbī Kaṯīr al-ʾAnṣārī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_004,jb_004,al-Dānī,Ḫalaf b. ʾIbrāhīm b. Ḫāqān,ʾAḥmad b. Muḥammad b. ʾAbī al-Raǧāʾ,Muḥammad b. Muḥammad al-Naffāḥ al-Bāhilī,ʾAbū ʿUmar al-Dūrī,ʾIsmāʿīl b. Ǧaʿfar b. ʾAbī Kaṯīr al-ʾAnṣārī,ʿĪsā b. Wardān al-Ḥaḏḏāʾ,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_005,jb_005,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,AHMAD B. MUHAMMAD B. JABIR,Muḥammad b. Muḥammad al-Naffāḥ al-Bāhilī,ʾAbū ʿUmar al-Dūrī,ʾIsmāʿīl b. Ǧaʿfar b. ʾAbī Kaṯīr al-ʾAnṣārī,ʿĪsā b. Wardān al-Ḥaḏḏāʾ,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_006,jb_006,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,Muḥammad b. al-Ǧahm,Maymūn b. Ḥafṣ ʾAbū Tawbah al-Naḥwī,ʾAbū al-Ḥasan ʿAlī b. Ḥamzah al-Kisāʾī,ʾIsmāʿīl b. Ǧaʿfar b. ʾAbī Kaṯīr al-ʾAnṣārī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_007,jb_007,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,Muḥammad b. Muḥammad al-Wazīr ʾAbū Bakr al-Baṣrī,ʿAbd al-Razzāq b. al-Ḥasan al-ʾAnṭākī,ʾAḥmad b. Ǧubayr al-ʾAnṭākī,ʾAbū al-Ḥasan ʿAlī b. Ḥamzah al-Kisāʾī,ʾIsmāʿīl b. Ǧaʿfar b. ʾAbī Kaṯīr al-ʾAnṣārī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,
isnad_008,jb_008,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,ʾAḥmad b. Faraḥ al-Mufassir al-Ḍarīr,ʾAbū ʿUmar al-Dūrī,ʾAbū al-Ḥasan ʿAlī b. Ḥamzah al-Kisāʾī,ʾIsmāʿīl b. Ǧaʿfar b. ʾAbī Kaṯīr al-ʾAnṣārī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_009,jb_009,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,Muḥammad b. al-Ǧahm,Sulaymān b. Dāwūd al-Hāšimī,ʾIsmāʿīl b. Ǧaʿfar b. ʾAbī Kaṯīr al-ʾAnṣārī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_010,jb_010,al-Dānī,Ḫalaf b. ʾIbrāhīm b. Ḫāqān,ʾAḥmad b. Muḥammad b. ʾAbī al-Raǧāʾ,ʿAlī b. ʿAbd al-ʿAzīz,ʾAbū ʿUbayd al-Qāsim b. Sallām,ʾIsmāʿīl b. Ǧaʿfar b. ʾAbī Kaṯīr al-ʾAnṣārī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_011,jb_011,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,ʿAbd Allāh b. Muḥammad b. ʿAbd al-ʿAzīz ʾAbū al-Qāsim al-Baġawī,Ḥusayn b. Muḥammad al-Marrūḏī,ʾIsmāʿīl b. Ǧaʿfar b. ʾAbī Kaṯīr al-ʾAnṣārī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_012,jb_012,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,Muḥammad b. Yūnus al-Ḥaḍramī,ʾAḥmad b. Saʿīd b. Šāhīn,ʾAbū al-Rabīʿ Sulaymān b. Dāwūd al-Zahrānī,Burayd b. ʿAbd al-Wāḥid ʾAbū al-Muʿāfā al-Ḍarīr,ʾIsmāʿīl b. Ǧaʿfar b. ʾAbī Kaṯīr al-ʾAnṣārī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,
isnad_013,jb_013,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,ʾAbū Bakr Muḥammad b. al-Faraǧ,Muḥammad b. ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_014,jb_014,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,ʿAbd Allāh b. al-Ṣaqr al-Sukkarī,Muḥammad b. ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_015,jb_015,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʿAbd al-Bāqī b. al-Ḥasan b. al-Saqqāʾ,Zayd b. ʿAlī b. ʾAbī Bilāl al-Kūfī,Muḥammad b. al-Ḥasan b. Yūnus,ʿAbd al-Wāḥid b. ʾAḥmad b. Ġazāl ʾAbū al-Faraǧ al-Ǧurǧānī,Muḥammad b. ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,
isnad_016,jb_016,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʿAbd al-Bāqī b. al-Ḥasan b. al-Saqqāʾ,ʾAḥmad b. Muḥammad b. Bišr al-Marwarrūḏī,Muḥammad b. Yūnus al-Ḥaḍramī,ʾIsmāʿīl b. Yaḥyā b. ʿAbd Rabbih ʾAbū ʿAlī al-Marwazī,Muḥammad b. ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,
isnad_017,jb_017,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,ʾAbū Muḥammad ʿUbayd b. Muḥammad al-Marwazī al-Mukattib,Muḥammad b. Saʿdān al-Kūfī al-Muqriʾ,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_018,jb_018,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,al-Ḥasan b. al-Sarī b. Sahl,Muḥammad b. ʾAḥmad b. Wāṣil,Muḥammad b. Saʿdān al-Kūfī al-Muqriʾ,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_019,jb_019,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʾAbū ʾAḥmad ʿAbd Allāh b. al-Ḥusayn b. Ḥasnūn al-Sāmarrī,ʾAbū Bakr b. Muǧāhid,Muḥammad b. ʾAḥmad b. Wāṣil,Muḥammad b. ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_020,jb_020,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʾAbū ʾAḥmad ʿAbd Allāh b. al-Ḥusayn b. Ḥasnūn al-Sāmarrī,ʿAlī b. Mustawir ʾAbū al-Ḥasan,Muḥammad b. ʾAḥmad b. Wāṣil,Muḥammad b. Saʿdān al-Kūfī al-Muqriʾ,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
